SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G03,2024-05-06 18:25:05.419145+00:00,12847138.5227103,8980965.521413809,21311195.134668734,18690559.401266944,50.0,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G04,2024-05-06 18:25:05.419145+00:00,21726843.34931665,3618822.0152183473,14957545.68943769,18604829.222002164,49.1,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G06,2024-05-06 18:25:05.419145+00:00,4782328.919989837,-14612972.887884699,21701304.156481232,23374863.133858435,50.0,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G09,2024-05-06 18:25:05.419145+00:00,25263672.374637168,-7268272.6662645,3907984.4452370456,20826494.63031876,50.0,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G16,2024-05-06 18:25:05.419145+00:00,1692241.2385092517,24070677.637528285,-10907451.97678931,23530926.534960657,49.4,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G17,2024-05-06 18:25:05.419145+00:00,21146967.453720488,-13387117.830581315,9543132.059418827,21877915.369854227,49.2,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G19,2024-05-06 18:25:05.419145+00:00,13795997.620671038,-15258423.474806137,16400177.810251918,22109368.921897765,49.2,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G21,2024-05-06 18:25:05.419145+00:00,20951914.453904383,16837985.68509088,-3093099.779130648,20215025.59899688,50.4,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G26,2024-05-06 18:25:05.419145+00:00,-4210777.033072672,25861901.197110556,2733912.899681801,22566319.08796614,48.4,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G28,2024-05-06 18:25:05.419145+00:00,-7063135.193016811,13635600.042572765,21658308.961628452,22316502.619489726,49.9,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G31,2024-05-06 18:25:05.419145+00:00,2881137.124938161,19116027.852918986,17824182.145364452,19848515.17359595,49.0,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
G02,2024-05-06 18:25:20.420000+00:00,22724139.741837222,13965412.492258802,1992895.637644608,19083355.308383618,50.1,4571189.9626144795,2920463.3289026576,3046230.5462574316,29.485963158426657,32.57388670621039,-151703.25476470124
