SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G08,2024-04-13 16:51:46.417344+00:00,24915576.51396154,4701030.656115165,8499275.310336692,21171149.545388263,47.6,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G10,2024-04-13 16:51:46.417344+00:00,-1350848.3722884487,17161361.276693147,20339359.70778309,22789548.11717933,34.0,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G21,2024-04-13 16:51:46.417344+00:00,15703892.66524831,1562681.565218639,21909697.187725205,21742470.919708505,44.0,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G27,2024-04-13 16:51:46.417344+00:00,23147131.593831375,13294051.450987967,-2624314.266344558,22142378.285535656,44.0,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G28,2024-04-13 16:51:46.417344+00:00,5198003.521109107,25764027.453630283,-3854223.194708416,23815317.335632466,36.2,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G32,2024-04-13 16:51:46.417344+00:00,8073619.203615215,17956199.824179806,18131754.876287162,21262137.913132712,44.7,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G02,2024-04-13 16:51:47.417344+00:00,14577950.767985916,-5210419.316683025,22044332.89128557,22806515.132643368,44.4,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G03,2024-04-13 16:51:47.417344+00:00,23184027.17242693,-12117775.795390222,4046139.0624591582,24145778.771917216,42.8,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G08,2024-04-13 16:51:47.417344+00:00,24916458.94937069,4701705.554512181,8496393.676285723,21171318.959054895,48.0,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G10,2024-04-13 16:51:47.417344+00:00,-1353015.520954512,17162689.02318965,20338051.304917686,22789910.55690665,33.5,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G21,2024-04-13 16:51:47.417344+00:00,15704311.891781103,1565313.132601072,21909298.023869675,21742128.5459593,44.6,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G27,2024-04-13 16:51:47.417344+00:00,23146763.362111025,13294135.161375292,-2627442.796941278,22142912.226616405,44.0,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
G28,2024-04-13 16:51:47.417344+00:00,5197777.023884434,25764539.105771083,-3851096.185499713,23814801.08385788,36.2,4436888.267581813,3085280.312962149,3376312.144396304,32.168758999609864,34.81360423447879,47.8521517040208
