SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G27,2024-04-13 16:52:22.418698+00:00,23133658.602184948,13296970.843395937,-2736910.9216327523,22163436.485754948,43.5,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G28,2024-04-13 16:52:22.418698+00:00,5189843.71598544,25782209.496133786,-3741595.5124444524,23798776.32044644,33.2,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G32,2024-04-13 16:52:22.418698+00:00,7998230.517783548,17925514.160998203,18195453.280214105,21272535.20165962,41.1,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G02,2024-04-13 16:52:23.418698+00:00,14593618.420360496,-5115008.573093904,22057557.524976943,22790132.9381693,38.5,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G03,2024-04-13 16:52:23.418698+00:00,23172139.13219523,-12100512.325341227,4160537.4096261985,24129465.665315356,37.5,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G08,2024-04-13 16:52:23.418698+00:00,24948035.367320042,4725868.727522488,8392533.454994256,21179215.921499003,46.3,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G10,2024-04-13 16:52:23.418698+00:00,-1430892.3138336148,17210519.768154975,20290661.842117902,22804512.08467514,41.2,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G21,2024-04-13 16:52:23.418698+00:00,15719503.99376461,1659996.3464529663,21894632.22452363,21731431.82451014,41.7,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G27,2024-04-13 16:52:23.418698+00:00,23133278.0161874,13297049.176765535,-2740037.4566423907,22164004.873565514,40.6,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G28,2024-04-13 16:52:23.418698+00:00,5189616.8873903435,25782707.54009093,-3738465.596671429,23798305.927844074,31.9,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G32,2024-04-13 16:52:23.418698+00:00,7996131.871120844,17924662.335009824,18197215.62315668,21272808.925638758,43.6,4436900.371228976,3085283.190765288,3376340.789964429,32.16892206526992,34.81355602272825,72.90597279090434
G02,2024-04-13 16:52:24.418698+00:00,14594056.70042642,-5112358.1167779025,22057916.542704206,22789664.36686526,42.4,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G03,2024-04-13 16:52:24.418698+00:00,23171803.284006517,-12100028.283656344,4163713.3820358217,24129009.383395333,34.6,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G08,2024-04-13 16:52:24.418698+00:00,24948907.101785235,4726536.184748864,8389645.307524936,21179415.59384319,46.4,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G10,2024-04-13 16:52:24.418698+00:00,-1433051.4816562785,17211849.17288594,20289337.602029435,22804902.09574649,39.2,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G21,2024-04-13 16:52:24.418698+00:00,15719928.737415025,1662624.745960733,21894216.65509382,21731109.867515687,40.2,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G27,2024-04-13 16:52:24.418698+00:00,23132897.086760703,13297127.361700239,-2743163.9350453992,22164572.66806868,39.8,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G28,2024-04-13 16:52:24.418698+00:00,5189390.048602195,25783205.206009477,-3735335.600911922,23797790.583480813,34.0,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G32,2024-04-13 16:52:24.418698+00:00,7994032.976562597,17923810.53784476,18198977.587756924,21273085.93025883,43.3,4436893.708946839,3085295.5720964274,3376329.161959033,32.16882562709959,34.813704121850755,68.06837763357908
G02,2024-04-13 16:52:25.418698+00:00,14594495.14713946,-5109707.647335386,22058275.11067841,22789193.108227685,45.0,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G03,2024-04-13 16:52:25.418698+00:00,23171467.131587677,-12099543.997199925,4166889.265242708,24128524.62271995,37.7,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G08,2024-04-13 16:52:25.418698+00:00,24949778.546249963,4727203.441472884,8386756.985205627,21179619.140135724,49.0,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G10,2024-04-13 16:52:25.418698+00:00,-1435210.4330321224,17213178.62141989,20288012.934410878,22805290.64099955,40.2,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G21,2024-04-13 16:52:25.418698+00:00,15720353.629839228,1665253.0585631393,21893800.642533194,21730804.069422863,39.9,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
G27,2024-04-13 16:52:25.418698+00:00,23132515.813887764,13297205.398250192,-2746290.356802147,22165137.49603483,36.6,4436896.7892953055,3085288.024154451,3376328.1434478373,32.16882639944224,34.81361977589863,66.01921047642827
